rank,title,search,summary,source,link
8,Texans,500K+,"Monday's Texans takeaways: Dramatic turnaround, an improved Deshaun Watson and ...",Houston Chronicle | 5d ago,https://www.houstonchronicle.com/sports/texas-sports-nation/texans/article/Monday-s-Texans-takeaways-Dramatic-turnaround-13364116.php
9,Mac Miller,200K+,"Mac Miller died of an accidental overdose, coroner finds",CNN | 5d ago,https://www.cnn.com/2018/11/05/entertainment/mac-miller-cause-of-death/index.html
10,Oklahoma football,200K+,Oklahoma football: Notable numbers from another Wild Wild West shootout,Stormin' In Norman | 6d ago,https://stormininnorman.com/2018/11/04/oklahoma-football-notable-numbers-from-another-wild-wild-west-shootout/
11,Beto O'Rourke,200K+,The Last Day of Canvassing for Beto O'Rourke in El Paso,The New Yorker | 4d ago,https://www.newyorker.com/news/news-desk/the-last-day-of-canvassing-for-beto-orourke-in-el-paso
12,Buffalo Bills,200K+,Bills continue to defy the odds and get worse and worse on offense,Rochester Democrat and Chronicle | 5d ago,https://www.democratandchronicle.com/story/sports/football/nfl/bills/2018/11/05/buffalo-bills-offense-worst-nfl-nathan-peterman-lesean-mccoy/1893129002/
13,Floyd Mayweather,200K+,Floyd Mayweather to make Rizin debut in December,ESPN | 6d ago,http://www.espn.com/boxing/story/_/id/25181251/floyd-mayweather-schedules-bout-rizin-fighting-federation
14,The Breakthrough Prize,200K+,"The Breakthrough Prizes Have Money, but They Need Diversity Too",WIRED | 5d ago,https://www.wired.com/story/to-shake-up-science-the-breakthrough-prizes-need-more-than-money/
15,Chargers,200K+,Chargers release struggling kicker Caleb Sturgis,ESPN | 5d ago,http://www.espn.com/nfl/story/_/id/25186350/los-angeles-chargers-release-kicker-caleb-sturgis
16,Angela Simmons,200K+,'Growing Up Hip Hop' star Angela Simmons' ex-boyfriend Sutton Tennyson killed ...,USA TODAY | 6d ago,https://www.usatoday.com/story/life/people/2018/11/04/angela-simmons-ex-boyfriend-sutton-tennyson-killed-im-numb/1885600002/
17,Miami Dolphins,200K+,Dolphins safety Reshad Jones pulled himself from Jets game,ESPN | 6d ago,http://www.espn.com/nfl/story/_/id/25179530/miami-dolphins-safety-reshad-jones-pulled-game-vs-new-york-jets
18,Bohemian Rhapsody movie,200K+,"Review: In “Bohemian Rhapsody,” Freddie Mercury Is More Interesting Than His Music",The New Yorker | 5d ago,https://www.newyorker.com/culture/the-front-row/review-in-bohemian-rhapsody-freddie-mercury-is-more-interesting-than-his-music
19,Maggie Rogers,200K+,"For Her 'SNL' Debut, Maggie Rogers Performs 'Light On' And 'Fallingwater'",NPR | 6d ago,https://www.npr.org/2018/11/04/663032124/for-her-snl-debut-maggie-rogers-performs-light-on-and-fallingwater
20,Black Friday Deals 2018,200K+,Costco's Black Friday 2018 Ad Arrives With These 5 Outstanding Tech Deals,Fortune | 5d ago,http://fortune.com/2018/11/05/costco-black-friday-2018-deals/
1,Daylight Saving 2018,2M+,It's 'time change' time. Did you remember to fall back?,CNN | 6d ago,https://www.cnn.com/2018/11/04/us/time-change-daylight-saving-trnd/index.html
2,Alabama Football,2M+,All Hail Our Alabama Football Overlords,Wall Street Journal | 6d ago,https://www.wsj.com/articles/all-hail-our-alabama-football-overlords-1541349381
3,UFC 230,1M+,"UFC 230 Results: Winners, Bonuses, Twitter Reaction And Highlights",Forbes | 1w ago,https://www.forbes.com/sites/brianmazique/2018/11/03/ufc-230-live-results-winners-bonuses-twitter-reaction-and-highlights/
4,Ariana Grande,500K+,"Ariana Grande drops song about her exes, and Pete Davidson addresses break up ...",CNN | 6d ago,https://www.cnn.com/2018/11/04/entertainment/ariana-grande-thank-you-next-song/index.html
5,NYC Marathon,200K+,2018 New York City Marathon Photos,New York Times | 6d ago,https://www.nytimes.com/2018/11/04/sports/nyc-marathon-photos.html
6,Ohio State,200K+,Spread released for Ohio State at Michigan State,247Sports | 6d ago,https://247sports.com/college/ohio-state/Article/Spread-released-for-the-Big-Ten-match-up-between-The-Ohio-State-Buckeyes-and-the-Michigan-State-Spartans-124070603/
7,Thank u next,200K+,"Ariana Grande's 'Thank u, next' is the latest breakup song to preach the ...",Washington Post | 5d ago,https://www.washingtonpost.com/lifestyle/2018/11/05/ariana-grandes-thank-u-next-is-latest-breakup-song-preach-importance-self-love/
8,time Change,200K+,"End of daylight saving time changes the morning, evening commute",Cincinnati.com | 6d ago,https://www.cincinnati.com/story/news/2018/11/04/daylight-saving-time-ends-commuters-face-new-conditions-following-time-change/1884225002/
9,WVU football,200K+,"WVU football notebook: 'Experienced, mature' Mountaineers found a way to win ...",Charleston Gazette-Mail | 6d ago,https://www.wvgazettemail.com/wvu-football-notebook-experienced-mature-mountaineers-found-a-way-to/article_620dbda4-9591-5e9b-aa56-7b10c27d5ade.html
10,Northwestern Football,100K+,Notre Dame Football: The Northwestern Hangover,One Foot Down | 6d ago,https://www.onefootdown.com/2018/11/4/18061774/notre-dame-football-the-northwestern-hangover-ian-book-chase-claypool-miles-boykin-nickel-yoon-irish
11,Roy Hargrove,100K+,"Roy Hargrove, Grammy-Winning Jazz Trumpeter, Dies At 49",NPR | 1w ago,https://www.npr.org/2018/11/03/663895387/roy-hargrove-grammy-winning-jazz-trumpeter-dies-at-49
12,Lakers vs Trail Blazers,100K+,"Lakers vs. Trail Blazers odds, pick: Predictions on gambling spread, over ...",CBSSports.com | 1w ago,https://www.cbssports.com/nba/news/lakers-vs-trail-blazers-odds-pick-predictions-on-gambling-spread-overunder-total-points-looks-like-safest-play/
13,Barcelona,100K+,"Luis Suarez goal completes late comeback, puts Barcelona four points clear",ESPN | 1w ago,http://www.espn.com/soccer/report?gameId=521815
14,Kavanaugh,100K+,Trump on false Kavanaugh accusation: 'How about the other ones?',The Hill | 6d ago,https://thehill.com/homenews/administration/414802-trump-on-false-kavanaugh-accusation-how-about-the-other-ones
15,Real Madrid,100K+,Vinicius Jr. makes difference as Real Madrid win in Solari's La Liga debut,ESPN | 1w ago,http://www.espn.com/soccer/report?gameId=521820
16,Tyson Chandler,100K+,"Tyson Chandler bought out by Suns, plans to sign with Lakers",ESPN | 1w ago,http://www.espn.com/espnw/sports/article/25168538/tyson-chandler-bought-phoenix-suns-eyes-los-angeles-lakers
17,Arsenal,100K+,Xhaka confident Arsenal will finish in top four,Goal.com | 6d ago,https://www.goal.com/en/news/xhaka-confident-arsenal-will-finish-in-top-four/s37hc3ez7rvvz8qsn8foigq3
18,Devin White,100K+,Watch as LSU's Devin White is 'freed' for second half against Alabama at Tiger ...,The Advocate | 1w ago,https://www.theadvocate.com/baton_rouge/sports/lsu/article_95397ffc-dfd6-11e8-b3a1-8f46aeb949bc.html
19,Sam Bradford,50K+,Arizona Cardinals release benched quarterback Sam Bradford,ESPN | 1w ago,http://www.espn.com/nfl/story/_/id/25167705/arizona-cardinals-release-benched-quarterback-sam-bradford
20,Bruce Irvin,50K+,Raiders release highest-paid defensive player Bruce Irvin after role ...,CBSSports.com | 1w ago,https://www.cbssports.com/nfl/news/raiders-reportedly-release-highest-paid-defensive-player-bruce-irvin-after-role-diminishes-in-2018/
